S.NO,PROP_ID,SIZE_OF_PROPERTY,NO_OF_BEDROOMS,LOCALITY,PROPERTY_TYPE,TOTAL_FLOOR,AGE_OF_BUILDING,PRICE_IN_LAKHS,CONSTRUCTION_STATUS,LATITUDE,LOGITUDE
72,V70677306,400,3,Vardhan Heights,Residential Apartment,5,31,56,Under Construction,19.0525298,73.0735111
73,M68978894,650,2,Puraniks Unicorn Phase 1,Residential Apartment,15,7,48.03,Under Construction,19.0525298,73.0735111
74,T69377700,250,3,Pyramid Elements,Residential Apartment,6,41,175,Under Construction,19.0525298,73.0735111
75,G63363306,2000,3,Tharwani Meghna Montana,Residential Apartment,2,19,120,Under Construction,19.0525298,73.0735111
76,R54373876,1200,1,Dev Drashti Empire Phase 1,Residential Apartment,23,35,150,Ready to move,19.0525298,73.0735111
77,D70085054,1400,2,B G Shirke Monte Verita West Tower,Residential Apartment,4,12,130,Under Construction,19.0525298,73.0735111
78,F70049676,200,3,Jindal Avenue,Residential Apartment,6,27,166,Under Construction,19.0525298,73.0735111
79,I70048278,1400,2,Walekar Homes,Residential Apartment,7,4,130,Ready to move,19.0525298,73.0735111
80,O70746110,725,2,Sri Garden Avenue K,Residential Apartment,6,47,94,Under Construction,19.0525298,73.0735111
81,D69548094,300,2,Anant Residency,Residential Apartment,20,9,166,Under Construction,19.0525298,73.0735111
82,O70547242,870,2,Ravechi Shreeji Divine,Residential Apartment,9,25,130,Under Construction,19.0525298,73.0735111
83,J70300658,800,2,Neelkanth Auris,Residential Apartment,6,50,94,Under Construction,19.0525298,73.0735111
84,J69170678,680,3,Shree Krupa Nandanvan Homes Building B,Residential Apartment,10,15,80,Under Construction,19.0525298,73.0735111
85,N69150128,780,2,Tajjodin Taj Regency,Residential Apartment,15,33,57,Under Construction,19.0525298,73.0735111
86,A69091664,460,3,Avant Heritage III,Studio Apartment,8,21,55,Under Construction,19.0525298,73.0735111
87,D70511376,1040,3,Kalpataru Kalpataru Elitus,Residential Apartment,31,37,60,Under Construction,19.0525298,73.0735111
88,K70988370,850,3,VBHC 47 Rowland Park,Residential Apartment,7,22,56,Under Construction,19.0525298,73.0735111
89,Y70376814,1000,3,Sunteck City First Impression,Residential Apartment,7,48,49,Under Construction,19.0525298,73.0735111
90,O70430224,430,3,Siddhivinayak Siddhivinayak Gaurav,Residential Apartment,22,13,135,Under Construction,19.0525298,73.0735111
91,J70356302,800,3,A M Balaji Heights,Residential Apartment,7,34,220,Under Construction,19.0525298,73.0735111
92,S70127130,1000,2,Sai Shrushti Vatika,Residential Apartment,5,18,175,Under Construction,19.0525298,73.0735111
93,E70027598,300,2,Piramal S Class Homes,Residential Apartment,7,44,178,Under Construction,19.0525298,73.0735111
94,W70922504,850,3,Rishabraj Vicinia,Residential Apartment,5,1,140,Under Construction,19.0525298,73.0735111
95,S70921382,565,2,Qualitas QN Greens Phase 1,Independent House/Villa,4,39,72,Ready to move,19.0525298,73.0735111
96,W70856584,1700,3,Precious Group Precious Meadows,Residential Apartment,8,24,70,Under Construction,19.0525298,73.0735111
97,G70559936,615,2,Tulip Empire,Residential Apartment,30,46,150,Under Construction,19.0525298,73.0735111
98,Z66242918,700,3,Radheya Sai Enclave Building No 2,Residential Apartment,30,30,100,Under Construction,19.0525298,73.0735111
99,Q70534166,528,2,Romell Serene,Residential Apartment,15,40,175,Under Construction,19.0525298,73.0735111
100,B69202404,825,2,Origin Oriana,Residential Apartment,26,43,110,Under Construction,19.0525298,73.0735111
101,G69898184,430,2,Radheya Sai Enclave Building No 2,Independent House/Villa,,25,130,Under Construction,19.0525298,73.0735111
102,H48234425,350,2,Radheya Sai Enclave Building No 2,Residential Apartment,11,10,125,Under Construction,19.0525298,73.0735111
103,T65813160,1200,2,Radheya Sai Enclave Building No 2,Residential Apartment,12,38,130,Under Construction,19.0525298,73.0735111
104,F69603618,700,3,Radheya Sai Enclave Building No 2,Residential Apartment,4,5,150,Under Construction,19.0525298,73.0735111
105,O59483584,900,3,Radheya Sai Enclave Building No 2,Residential Apartment,7,20,75,Under Construction,19.0525298,73.0735111
106,I68687174,850,2,Romell Serene,Residential Apartment,11,42,95,Under Construction,19.0525298,73.0735111
107,W61117474,750,3,Romell Serene,Residential Apartment,16,15,90,Under Construction,19.0525298,73.0735111
108,H54654182,800,2,Romell Serene,Residential Apartment,3,7,62,Under Construction,19.0525298,73.0735111
109,P68221146,900,3,Romell Serene,Residential Apartment,3,30,55,Under Construction,19.0257731,73.05918478
110,C64187400,300,3,Romell Serene,Residential Apartment,11,3,50,Under Construction,19.0525298,73.0735111
111,S68076972,1200,2,Ashapura Mokshit Majesta,Independent/Builder Floor,2,47,50,Under Construction,19.0525298,73.0735111
112,M54333524,1000,2,Ashapura Mokshit Majesta,Residential Apartment,3,12,55,Under Construction,19.0525298,73.0735111
113,M70824676,590,2,Ashapura Mokshit Majesta,Residential Apartment,7,29,42,Under Construction,19.0525298,73.0735111
114,G60652370,780,3,Ashapura Mokshit Majesta,Residential Apartment,3,8,52,Under Construction,19.0525298,73.0735111
115,G49195487,300,2,Ashapura Mokshit Majesta,Residential Apartment,3,36,42,Under Construction,19.0525298,73.0735111
116,K70579532,950,2,Ashapura Mokshit Majesta,Residential Apartment,42,19,65,Under Construction,19.0525298,73.0735111
117,V70578044,950,2,Ashapura Mokshit Majesta,Residential Apartment,13,2,60,Under Construction,19.0525298,73.0735111
118,H40524699,300,3,Ashapura Mokshit Majesta,Residential Apartment,7,45,50,Under Construction,19.0525298,73.0735111
119,W53327694,400,2,Origin Oriana,Residential Apartment,20,23,55,Under Construction,19.0525298,73.0735111
120,G69191242,1002,3,Origin Oriana,Residential Apartment,18,11,42,Under Construction,19.0525298,73.0735111
121,T49289371,300,3,Origin Oriana,Residential Apartment,7,41,55,Under Construction,19.0525298,73.0735111
122,L70304766,550,3,Origin Oriana,Residential Apartment,7,6,43,Under Construction,19.0525298,73.0735111
123,C69298020,958,3,Origin Oriana,Residential Apartment,18,17,155,Under Construction,19.0525298,73.0735111
124,R70865792,1050,3,Origin Oriana,Residential Apartment,11,48,165,Under Construction,19.0525298,73.0735111
125,M70865674,1050,4,Origin Oriana,Residential Apartment,11,26,113.99999,Under Construction,19.0525298,73.0735111
126,C70865440,1755,3,Bhoomi Simana Wing A Phase 1,Residential Apartment,12,4,120,Under Construction,19.0525298,73.0735111
127,H70865380,1755,2,Bhoomi Simana Wing A Phase 1,Residential Apartment,12,33,135,Under Construction,19.0525298,73.0735111
128,T70865198,1755,3,Agami Estancia,Residential Apartment,12,14,160,Under Construction,19.0525298,73.0735111
129,P70865120,1755,3,Agami Estancia,Residential Apartment,12,39,220,Under Construction,19.0525298,73.0735111
130,O70389730,840,2,Sanghvi Infenia,Residential Apartment,15,22,110,Under Construction,19.0525298,73.0735111
131,I70292134,870,2,Sanghvi Infenia,Residential Apartment,16,9,166,Under Construction,19.0525298,73.0735111
132,I70240370,890,2,Shubh Shreeji Heights,Residential Apartment,14,50,140,Ready to move,19.0525298,73.0735111
133,L70463202,850,2,Shubh Shreeji Heights,Residential Apartment,7,24,85,Ready to move,19.0525298,73.0735111
134,W70292218,1220,2,Shubh Shreeji Heights,Residential Apartment,11,1,75,Ready to move,19.0525298,73.0735111
135,A70326990,1755,2,Shubh Shreeji Heights,Residential Apartment,11,34,60,Ready to move,19.0525298,73.0735111
136,C70395894,1755,2,Shubh Shreeji Heights,Residential Apartment,16,21,49,Ready to move,19.0525298,73.0735111
137,F70461530,840,2,Shubh Shreeji Heights,Residential Apartment,15,16,42,Ready to move,19.0525298,73.0735111
138,D70460898,820,3,Shubh Shreeji Heights,Residential Apartment,15,40,65,Ready to move,19.0525298,73.0735111
139,D70439628,840,3,Shubh Shreeji Heights,Residential Apartment,7,18,45,Ready to move,19.0525298,73.0735111
140,I70243740,1490,2,A Plus Golden Corner,Residential Apartment,16,28,60,Under Construction,19.0525298,73.0735111
141,N70001798,800,2,A Plus Golden Corner,Residential Apartment,10,35,55,Under Construction,19.0525298,73.0735111
142,T66626772,2100,3,A Plus Golden Corner,Residential Apartment,15,27,43,Under Construction,19.0525298,73.0735111
143,A68941350,602,3,A Plus Golden Veda,Residential Apartment,22,13,55,Ready to move,19.0525298,73.0735111
144,R70883988,665,3,A Plus Golden Veda,Residential Apartment,17,37,135,Ready to move,19.0525298,73.0735111
145,S70865728,1050,3,A Plus Golden Veda,Residential Apartment,11,49,160,Ready to move,19.0525298,73.0735111
146,F70865300,1755,3,A Plus Golden Veda,Residential Apartment,12,32,150,Ready to move,19.0525298,73.0735111
147,J70463076,800,2,A Plus Golden Veda,Residential Apartment,7,46,110,Ready to move,19.0525298,73.0735111
148,U70424922,2000,2,A Plus Golden Veda,Independent House/Villa,2,31,140,Ready to move,19.0525298,73.0735111
149,Z70395980,1750,3,A Plus Golden Veda,Residential Apartment,16,44,69,Ready to move,19.0525298,73.0735111
150,R70389848,840,3,A Plus Golden Veda,Residential Apartment,15,43,83,Ready to move,19.0525298,73.0735111
151,T70327374,950,2,Unimont Imperia,Residential Apartment,10,2,90,Under Construction,19.0525298,73.0735111
152,B70241642,890,2,Unimont Imperia,Residential Apartment,15,47,51,Under Construction,19.0525298,73.0735111
153,F70598506,840,3,Unimont Imperia,Residential Apartment,7,11,52,Under Construction,19.0525298,73.0735111
154,B70597916,1043,3,Unimont Imperia,Residential Apartment,15,37,42,Under Construction,19.0525298,73.0735111
155,B70439822,1755,3,Unimont Imperia,Residential Apartment,15,25,55,Under Construction,19.0525298,73.0735111
156,C70419796,687,2,Unimont Imperia,Residential Apartment,7,18,55,Under Construction,19.0525298,73.0735111
157,W70243500,713,3,Unimont Imperia,Residential Apartment,16,41,65,Under Construction,19.0525298,73.0735111
158,D70598370,870,3,Unimont Imperia,Residential Apartment,11,23,54,Under Construction,19.0525298,73.0735111
159,W70340798,1250,2,Unimont Imperia,Residential Apartment,7,30,53,Under Construction,19.0525298,73.0735111
160,Q70308318,590,2,Unimont Imperia,Residential Apartment,17,8,55,Under Construction,19.0525298,73.0735111
161,O70461374,840,2,Unimont Imperia,Residential Apartment,7,13,50,Under Construction,19.0525298,73.0735111
162,A70382516,650,1,Unimont Imperia,Residential Apartment,15,48,110,Under Construction,19.0525298,73.0735111
163,H69858164,1000,2,Unimont Imperia,Residential Apartment,14,19,140,Under Construction,19.0525298,73.0735111
164,U67099864,1314,2,Unimont Imperia,Residential Apartment,61,4,171,Under Construction,19.0525298,73.0735111
165,B70868730,650,1,Unimont Imperia,Residential Apartment,11,45,160,Under Construction,19.0525298,73.0735111
166,S70831674,795,1,Unimont Imperia,Residential Apartment,19,33,118,Under Construction,19.0525298,73.0735111
167,B70597946,1043,2,Unimont Imperia,Residential Apartment,15,21,60,Under Construction,19.0525298,73.0735111
168,C70460354,790,2,Unimont Imperia,Residential Apartment,15,9,48.5,Under Construction,19.0525298,73.0735111
169,G70439286,870,3,Unimont Imperia,Residential Apartment,7,35,43,Under Construction,19.0525298,73.0735111
170,B70320044,577,3,Unimont Imperia,Residential Apartment,17,27,45,Under Construction,19.0525298,73.0735111
171,T70340146,950,2,Unimont Imperia,Residential Apartment,13,42,41,Under Construction,19.0525298,73.0735111
172,W70053934,900,2,Unimont Imperia,Residential Apartment,4,16,50,Under Construction,19.0525298,73.0735111
173,I70385438,750,3,Aayush Gulmohar,Residential Apartment,7,39,55,Under Construction,19.0525298,73.0735111
174,K70389488,870,3,Aayush Gulmohar,Residential Apartment,15,1,45,Under Construction,19.0525298,73.0735111
175,L70295552,750,2,Aayush Gulmohar,Residential Apartment,7,46,50,Under Construction,19.0525298,73.0735111
176,Z68535248,300,2,Aayush Gulmohar,Residential Apartment,8,34,53,Under Construction,19.0525298,73.0735111
177,S70200482,850,2,Aayush Gulmohar,Residential Apartment,15,26,190,Under Construction,19.0525298,73.0735111
178,X70178128,700,3,Aayush Gulmohar,Residential Apartment,6,15,155,Under Construction,19.0525298,73.0735111
179,B69951270,300,2,Aayush Gulmohar,Residential Apartment,7,43,135,Under Construction,19.0525298,73.0735111
180,P69884742,650,3,Aayush Gulmohar,Residential Apartment,15,7,136,Under Construction,19.0525298,73.0735111
181,F69701570,845,2,Aayush Gulmohar,Residential Apartment,19,32,155,Under Construction,19.0525298,73.0735111
182,P69868938,1050,2,Aayush Gulmohar,Residential Apartment,5,20,165,Under Construction,19.0525298,73.0735111
183,R69278044,1500,3,Aayush Gulmohar,Residential Apartment,26,36,86,Under Construction,19.0525298,73.0735111
184,T69184400,645,2,Aayush Gulmohar,Residential Apartment,10,10,100,Under Construction,19.0525298,73.0735111
185,T69315420,1500,2,Roswalt Zaiden,Residential Apartment,22,22,105,Under Construction,19.0525298,73.0735111
186,J66275460,2400,3,Roswalt Zaiden,Residential Apartment,57,50,47,Under Construction,19.0525298,73.0735111
187,Z66275458,1846,3,Angel Falcon Emerald Dunlin,Residential Apartment,57,28,62,Under Construction,19.0525298,73.0735111
188,Y69316058,1350,2,Angel Falcon Emerald Dunlin,Residential Apartment,15,6,45,Under Construction,19.0525298,73.0735111
189,A70727512,850,2,Angel Falcon Emerald Dunlin,Residential Apartment,9,40,69,Under Construction,19.0525298,73.0735111
190,U69757640,600,2,Angel Falcon Emerald Dunlin,Residential Apartment,6,17,45,Under Construction,19.0525298,73.0735111
191,V69168328,650,3,Angel Falcon Emerald Dunlin,Residential Apartment,15,29,100,Under Construction,19.0525298,73.0735111
192,X71009486,875,3,Angel Falcon Emerald Dunlin,Residential Apartment,6,3,130,Under Construction,19.0525298,73.0735111
193,H48587979,275,3,Angel Falcon Emerald Dunlin,Studio Apartment,3,24,110,Under Construction,19.04310935,73.07430033
194,Y55119952,1000,3,Proviso SaiProviso County,Residential Apartment,10,12,130,Under Construction,19.0525298,73.0735111
195,N66441302,1100,2,Proviso SaiProviso County,Residential Apartment,11,38,160,Under Construction,19.0525298,73.0735111
196,G66927504,1100,3,Proviso SaiProviso County,Residential Apartment,8,31,105,Under Construction,19.0257731,73.05918478
197,G70865534,1050,2,Proviso SaiProviso County,Residential Apartment,11,5,130,Under Construction,19.0525298,73.0735111
198,A60725362,1250,2,Godrej Urban Park,Residential Apartment,18,49,95,Under Construction,19.0525298,73.0735111
199,K62893658,1300,3,Godrej Urban Park,Residential Apartment,5,14,45,Under Construction,19.0525298,73.0735111
200,X55463802,1200,3,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Residential Apartment,11,4,110,Under Construction,19.0525298,73.0735111
201,Z70559914,750,3,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Residential Apartment,19,23,110,Under Construction,19.0525298,73.0735111
202,C70462904,840,2,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Residential Apartment,7,11,130,Under Construction,19.0525298,73.0735111
203,E70440232,800,3,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Residential Apartment,7,36,136,Under Construction,19.0525298,73.0735111
204,K70421828,870,2,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Residential Apartment,7,5,162,Under Construction,19.0525298,73.0735111
205,D70241562,980,3,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Residential Apartment,7,17,150,Under Construction,19.0525298,73.0735111
206,G63103104,650,3,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Residential Apartment,21,42,132,Under Construction,19.04310935,73.07430033
207,E55471666,1800,2,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Residential Apartment,21,9,75,Under Construction,19.0525298,73.0735111
208,E66927474,1800,3,Aurum Q Island R4 AND R5,Residential Apartment,7,29,95,Ready to move,19.0525298,73.0735111
209,I62911616,1400,3,Aurum Q Island R4 AND R5,Residential Apartment,8,48,150,Ready to move,19.0525298,73.0735111
210,L70658270,6668,2,Aurum Q Island R4 AND R5,Residential Apartment,23,14,75,Ready to move,19.0257731,73.05918478
211,E69963510,1550,3,Aurum Q Island R4 AND R5,Residential Apartment,10,31,130,Ready to move,19.0525298,73.0735111
212,U70308026,1280,3,Aurum Q Island R4 AND R5,Residential Apartment,13,3,162,Ready to move,19.0525298,73.0735111
213,M69117946,1000,3,Aurum Q Island R4 AND R5,Residential Apartment,6,20,110,Ready to move,19.0525298,73.0735111
214,L67803816,680,2,Aurum Q Island R4 AND R5,Residential Apartment,7,44,116,Ready to move,19.0525298,73.0735111
215,J67712918,300,2,Aurum Q Island R4 AND R5,Residential Apartment,15,7,56,Ready to move,19.0525298,73.0735111
216,D69086160,1079,3,Raymond Raymond Realty TenX Habitat,Residential Apartment,13,39,80,Under Construction,19.0525298,73.0735111
217,K69102990,1500,2,Raymond Raymond Realty TenX Habitat,Residential Apartment,19,26,95,Under Construction,19.1969686,73.07473537
218,H69523096,481,3,Raymond Raymond Realty TenX Habitat,Residential Apartment,22,50,20.18,Under Construction,18.9359567,72.8273404
219,Z69523090,240,2,Raymond Raymond Realty TenX Habitat,Residential Apartment,22,2,650,Under Construction,19.0148811,72.8279556
220,F69088244,1080,2,Raymond Raymond Realty TenX Habitat,Residential Apartment,23,45,450,Under Construction,19.136394,72.8373817
221,K69656168,861,2,Aurum Q Island R4 AND R5,Residential Apartment,5,19,165,Ready to move,19.2716301,73.23586553
222,T47423083,350,3,Asshna Seabliss,Residential Apartment,6,33,23.75,Under Construction,19.1860219,72.8563181
223,A64460246,231,3,Asshna Seabliss,Residential Apartment,6,10,195,Under Construction,19.4579689,72.8142138
224,U69656158,1120,2,Shakti Shree Siddhivinayak II,Residential Apartment,7,28,20,Under Construction,19.4579689,72.8142138
225,X69656164,924,3,Shakti Shree Siddhivinayak II,Residential Apartment,6,6,25,Under Construction,19.4579689,72.8142138
226,L59113256,275,2,Shakti Shree Siddhivinayak II,Residential Apartment,7,38,22.5,Under Construction,19.4553059,72.811816
227,Y46479383,550,3,Asshna Seabliss,Residential Apartment,10,13,27,Under Construction,19.1840129,72.8412155
228,O69656156,742,3,Asshna Seabliss,Residential Apartment,6,47,220,Under Construction,19.2267228,72.8619328
229,Q46422381,570,2,Asshna Seabliss,Residential Apartment,6,24,170,Under Construction,19.1860219,72.8563181
230,I70120800,500,3,Asshna Seabliss,Residential Apartment,3,16,435,Under Construction,19.2816975,72.8560676
231,Y67892456,582,2,Tharwani Meghna Montana,Residential Apartment,14,41,47.6,Under Construction,19.1633281,72.8411995
232,Z70932552,1000,3,Tharwani Meghna Montana,Residential Apartment,18,8,181,Under Construction,19.1633281,72.8411995
233,E70439194,980,3,Tharwani Meghna Montana,Residential Apartment,11,35,238,Under Construction,19.1633281,72.8411995
234,S70380928,1000,3,Tharwani Meghna Montana,Residential Apartment,7,21,212,Under Construction,19.2267228,72.8619328
235,K70849246,800,3,Tharwani Meghna Montana,Residential Apartment,7,4,86,Under Construction,19.1633281,72.8411995
236,J70839390,1200,3,Tharwani Meghna Montana,Residential Apartment,9,37,365,Under Construction,19.1840129,72.8412155
237,M70674958,1000,3,Tharwani Meghna Montana,Residential Apartment,15,49,237,Under Construction,19.1840129,72.8412155
238,A70752190,925,3,Tharwani Meghna Montana,Residential Apartment,9,22,214,Under Construction,19.2083801,72.842227
239,T68261656,690,3,Tharwani Meghna Montana,Residential Apartment,15,12,125,Under Construction,19.2083801,72.842227
240,W69612054,400,3,Tharwani Meghna Montana,Residential Apartment,24,30,180,Under Construction,19.2083801,72.842227
241,L70423822,1200,3,Tharwani Meghna Montana,Residential Apartment,10,46,132,Under Construction,19.2083801,72.842227
242,Z70386692,1000,3,Tharwani Meghna Montana,Residential Apartment,13,25,353,Under Construction,19.2267228,72.8619328
